epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,74906.6,0.78942,0.55739,1.18064,0.97961,0.95415,0.97955,0.78001,0.84937,0.3822,1.16767,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,75756.3,0.78658,0.55533,1.18393,0.97967,0.95436,0.97953,0.78036,0.85023,0.38154,1.16872,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,76606.1,0.78441,0.55136,1.18317,0.97847,0.95527,0.97955,0.78019,0.85038,0.38109,1.16834,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,77455.9,0.78414,0.55045,1.1831,0.97881,0.95542,0.97941,0.78039,0.85159,0.38092,1.16892,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,78305.2,0.77328,0.54077,1.17565,0.97772,0.95569,0.9794,0.78027,0.85242,0.38111,1.16948,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,79154.3,0.77418,0.53648,1.17291,0.97815,0.95575,0.97943,0.78002,0.85254,0.38104,1.16938,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,80003.9,0.77219,0.54593,1.17716,0.97835,0.95579,0.97957,0.78019,0.85253,0.38093,1.16916,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,80854,0.76808,0.53601,1.16811,0.97868,0.95552,0.97974,0.78042,0.85351,0.38075,1.16982,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,81703.4,0.76556,0.53406,1.1693,0.9802,0.9533,0.97987,0.78047,0.8527,0.37988,1.16858,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,82552.7,0.76785,0.53772,1.16962,0.97964,0.95361,0.97955,0.78068,0.85192,0.38022,1.16783,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,83401.9,0.7635,0.5308,1.16532,0.9784,0.95404,0.97949,0.78109,0.85192,0.37969,1.16784,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,84251.1,0.76106,0.52848,1.16232,0.9787,0.95404,0.97933,0.78095,0.85173,0.37858,1.16749,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,85101,0.75343,0.5231,1.1631,0.98026,0.95324,0.97933,0.78054,0.85336,0.37885,1.16865,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,85951.2,0.7521,0.51754,1.15794,0.97963,0.95345,0.97944,0.78142,0.85368,0.37719,1.16905,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,86800.9,0.75431,0.52229,1.16105,0.97975,0.9537,0.97959,0.7815,0.85477,0.37745,1.1701,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,87650.9,0.75217,0.51824,1.15752,0.97984,0.95387,0.97948,0.78206,0.85328,0.37632,1.16881,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,88500.8,0.7414,0.51783,1.15519,0.97963,0.95462,0.9798,0.7825,0.85173,0.37571,1.16773,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,89350.4,0.7471,0.51675,1.15573,0.97943,0.95517,0.97996,0.78243,0.85227,0.37538,1.16834,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,90199.9,0.73735,0.50583,1.14748,0.97921,0.95554,0.97991,0.783,0.85191,0.37459,1.16802,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,91049.7,0.7405,0.51164,1.14929,0.98007,0.95593,0.97993,0.78333,0.85083,0.37376,1.1674,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,91899.5,0.73238,0.50087,1.14541,0.98008,0.95668,0.98005,0.78372,0.85118,0.37375,1.16783,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,92748.8,0.72932,0.49421,1.1452,0.97926,0.9567,0.98018,0.78407,0.85079,0.37308,1.16726,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,93599.4,0.72957,0.49647,1.14207,0.97845,0.95687,0.98016,0.78428,0.85006,0.37212,1.16661,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,94449.5,0.72759,0.49537,1.14581,0.97892,0.9569,0.97984,0.78461,0.84906,0.37131,1.16603,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,95299.5,0.72462,0.49336,1.14151,0.97852,0.95708,0.97989,0.78511,0.84815,0.37082,1.1653,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,96149.8,0.71693,0.49009,1.13647,0.9778,0.95693,0.97934,0.78536,0.84765,0.37027,1.16502,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,97000.2,0.72091,0.48511,1.14056,0.98124,0.95341,0.97898,0.78519,0.84633,0.36957,1.16423,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,97850,0.71869,0.48671,1.14102,0.98228,0.95385,0.97893,0.78596,0.84491,0.36881,1.16335,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,98699.7,0.71504,0.48389,1.13217,0.9807,0.95537,0.97941,0.78667,0.8448,0.36736,1.16316,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,99549.6,0.71111,0.47962,1.128,0.98053,0.95592,0.97923,0.78655,0.84458,0.36728,1.16312,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,100398,0.70512,0.47461,1.12982,0.98052,0.95567,0.97872,0.78654,0.84525,0.36772,1.16376,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,101249,0.70751,0.47942,1.12817,0.98013,0.95481,0.97856,0.78684,0.84486,0.36891,1.16314,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,102098,0.70424,0.4746,1.12551,0.98008,0.95496,0.9785,0.78676,0.84522,0.36951,1.16336,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,102947,0.70544,0.47481,1.12683,0.97947,0.95552,0.97859,0.78716,0.84499,0.36928,1.16307,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,103797,0.69816,0.47039,1.12126,0.97917,0.95475,0.97849,0.78755,0.84481,0.36892,1.16291,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,104647,0.69465,0.46745,1.1185,0.98042,0.95272,0.97857,0.78844,0.84414,0.36842,1.16249,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,105497,0.69476,0.46387,1.11884,0.98044,0.95214,0.97857,0.78881,0.84355,0.36845,1.1622,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,106346,0.69419,0.46365,1.12118,0.98025,0.95256,0.97834,0.78907,0.84228,0.369,1.16119,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,107195,0.6915,0.45942,1.11644,0.97441,0.95953,0.97807,0.78856,0.84142,0.36905,1.16049,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,108044,0.68434,0.45995,1.11334,0.98147,0.95068,0.97815,0.78884,0.84136,0.36835,1.16054,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,108892,0.67928,0.44865,1.10937,0.98066,0.95333,0.97851,0.78949,0.84058,0.36816,1.16004,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,109741,0.67938,0.45124,1.10768,0.98234,0.95109,0.97868,0.78928,0.8405,0.36802,1.16014,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,110590,0.6743,0.44802,1.10856,0.98344,0.95037,0.97829,0.78971,0.83912,0.36757,1.15926,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,111440,0.67048,0.44508,1.10507,0.98426,0.95028,0.97887,0.79072,0.83854,0.36697,1.15909,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
